theta1,theta2,theta3,theta4,theta5,theta6,x,y,z,total_rotation
14.8,30.6,37.4,0.0,-68.0,0.0,13.57,3.6,1.6,150.8
14.8,30.8,37.0,0.0,-67.8,0.0,13.56,3.6,1.6,150.5
15.0,30.6,37.4,0.0,-68.0,0.0,13.55,3.6,1.6,151.0
15.0,30.8,37.0,0.0,-67.8,0.0,13.54,3.6,1.6,150.6
15.195,30.6,37.4,0.0,-68.0,0.0,13.54,3.7,1.6,151.2
15.195,30.8,37.0,0.0,-67.8,0.0,13.53,3.7,1.6,150.8
15.4,30.8,37.0,0.0,-67.8,0.0,13.52,3.7,1.6,151.0
15.59,30.6,37.4,0.0,-68.0,0.0,13.52,3.8,1.6,151.6
15.59,30.8,37.0,0.0,-67.8,0.0,13.51,3.8,1.6,151.2
15.8,30.8,37.0,0.0,-67.8,0.0,13.49,3.8,1.6,151.5
14.0,18.6,60.38,0.0,-79.0,0.0,14.27,3.6,1.6,172.0
14.195,18.6,60.38,0.0,-79.0,0.0,14.25,3.6,1.6,172.1
14.59,18.6,60.38,0.0,-79.0,0.0,14.23,3.7,1.6,172.5
14.8,18.6,60.38,0.0,-79.0,0.0,14.22,3.7,1.6,172.8
15.0,18.6,60.38,0.0,-79.0,0.0,14.2,3.8,1.6,173.0
15.195,18.6,60.38,0.0,-79.0,0.0,14.19,3.8,1.6,173.1
15.4,18.6,60.38,0.0,-79.0,0.0,14.18,3.9,1.6,173.4
15.59,18.6,60.38,0.0,-79.0,0.0,14.17,3.9,1.6,173.5
15.8,18.6,60.38,0.0,-79.0,0.0,14.15,4.0,1.6,173.8
14.0,0.8,96.2,0.0,-97.0,0.0,14.19,3.5,1.6,208.0
14.195,0.8,96.2,0.0,-97.0,0.0,14.17,3.6,1.6,208.2
14.59,0.8,96.2,0.0,-97.0,0.0,14.15,3.7,1.6,208.5
14.8,0.8,96.2,0.0,-97.0,0.0,14.14,3.7,1.6,208.8
15.0,0.8,96.2,0.0,-97.0,0.0,14.12,3.8,1.6,209.0
15.195,0.8,96.2,0.0,-97.0,0.0,14.11,3.8,1.6,209.2
15.4,0.8,96.2,0.0,-97.0,0.0,14.1,3.9,1.6,209.4
15.59,0.8,96.2,0.0,-97.0,0.0,14.09,3.9,1.6,209.5
15.8,0.8,96.2,0.0,-97.0,0.0,14.07,4.0,1.6,209.8
16.0,34.6,30.0,0.0,-64.6,0.0,13.17,3.8,1.6,145.2
16.2,34.6,30.0,0.0,-64.6,0.0,13.15,3.8,1.6,145.5
16.39,34.6,30.0,0.0,-64.6,0.0,13.14,3.9,1.6,145.6
16.6,34.6,30.0,0.0,-64.6,0.0,13.13,3.9,1.6,145.8
16.8,34.6,30.0,0.0,-64.6,0.0,13.11,4.0,1.6,146.0
17.0,34.6,30.0,0.0,-64.6,0.0,13.09,4.0,1.6,146.2
16.0,33.4,32.2,0.0,-65.6,0.0,13.27,3.8,1.6,147.2
16.2,33.4,32.2,0.0,-65.6,0.0,13.26,3.8,1.6,147.5
16.39,33.4,32.2,0.0,-65.6,0.0,13.24,3.9,1.6,147.6
16.6,33.4,32.2,0.0,-65.6,0.0,13.23,3.9,1.6,147.8
16.8,33.4,32.2,0.0,-65.6,0.0,13.22,4.0,1.6,148.0
16.0,30.6,37.4,0.0,-68.0,0.0,13.49,3.9,1.6,152.0
16.0,30.8,37.0,0.0,-67.8,0.0,13.48,3.9,1.6,151.6
16.2,30.8,37.0,0.0,-67.8,0.0,13.47,3.9,1.6,151.8
16.39,30.6,37.4,0.0,-68.0,0.0,13.47,4.0,1.6,152.4
16.39,30.8,37.0,0.0,-67.8,0.0,13.45,3.9,1.6,152.0
16.6,30.6,37.4,0.0,-68.0,0.0,13.45,4.0,1.6,152.6
16.6,30.8,37.0,0.0,-67.8,0.0,13.44,4.0,1.6,152.2
