theta1,theta2,theta3,theta4,theta5,theta6,x,y,z,total_rotation
5.797,34.6,30.0,0.0,-64.6,0.0,13.63,1.4,1.6,135.0
4.0,33.4,32.2,0.0,-65.6,0.0,13.77,1.0,1.6,135.2
4.4,33.4,32.2,0.0,-65.6,0.0,13.76,1.1,1.6,135.6
4.598,33.4,32.2,0.0,-65.6,0.0,13.75,1.1,1.6,135.8
5.0,33.4,32.2,0.0,-65.6,0.0,13.75,1.2,1.6,136.2
5.4,33.4,32.2,0.0,-65.6,0.0,13.74,1.3,1.6,136.6
5.598,33.4,32.2,0.0,-65.6,0.0,13.73,1.3,1.6,136.8
5.797,33.4,32.2,0.0,-65.6,0.0,13.73,1.4,1.6,137.0
4.0,30.6,37.4,0.0,-68.0,0.0,14.0,1.0,1.6,140.0
4.0,30.8,37.0,0.0,-67.8,0.0,13.99,1.0,1.6,139.6
4.4,30.6,37.4,0.0,-68.0,0.0,13.99,1.1,1.6,140.4
4.4,30.8,37.0,0.0,-67.8,0.0,13.98,1.1,1.6,140.0
4.598,30.8,37.0,0.0,-67.8,0.0,13.97,1.1,1.6,140.2
4.797,30.6,37.4,0.0,-68.0,0.0,13.99,1.2,1.6,140.8
4.797,30.8,37.0,0.0,-67.8,0.0,13.97,1.2,1.6,140.5
5.0,30.6,37.4,0.0,-68.0,0.0,13.98,1.2,1.6,141.0
5.2,30.6,37.4,0.0,-68.0,0.0,13.98,1.3,1.6,141.2
5.2,30.8,37.0,0.0,-67.8,0.0,13.97,1.3,1.6,140.8
5.4,30.8,37.0,0.0,-67.8,0.0,13.96,1.3,1.6,141.0
5.598,30.6,37.4,0.0,-68.0,0.0,13.96,1.4,1.6,141.6
5.598,30.8,37.0,0.0,-67.8,0.0,13.95,1.4,1.6,141.2
4.0,18.6,60.38,0.0,-79.0,0.0,14.67,1.0,1.6,162.0
4.2,18.6,60.38,0.0,-79.0,0.0,14.67,1.1,1.6,162.2
4.4,18.6,60.38,0.0,-79.0,0.0,14.66,1.1,1.6,162.4
4.598,18.6,60.38,0.0,-79.0,0.0,14.66,1.2,1.6,162.5
5.0,18.6,60.38,0.0,-79.0,0.0,14.65,1.3,1.6,163.0
5.4,18.6,60.38,0.0,-79.0,0.0,14.64,1.4,1.6,163.4
5.598,18.6,60.38,0.0,-79.0,0.0,14.63,1.4,1.6,163.5
